id,user_id,week_start,week_end,average_stress_score,average_sleep_hours,average_screen_time,average_study_hours,high_stress_days,dominant_stress_level,stress_trend,main_trigger,created_at
66,6,2026-02-05,2026-02-11,50.46,7.08,8.46,2.61,1,Medium,Stable,Low Mood,2026-02-11 21:00:00
67,6,2026-02-12,2026-02-18,54.34,7.32,9.16,2.66,0,Medium,Decreasing,Low Mood,2026-02-18 21:00:00
68,6,2026-02-19,2026-02-25,54.94,7.29,8.59,2.44,0,Medium,Increasing,Low Mood,2026-02-25 21:00:00
69,6,2026-02-26,2026-03-04,47.77,7.77,7.87,2.42,0,Medium,Decreasing,High Screen Time,2026-03-04 21:00:00
70,6,2026-03-05,2026-03-11,54.14,6.97,8.8,2.37,0,Medium,Stable,High Screen Time,2026-03-11 21:00:00
71,6,2026-03-12,2026-03-18,60.97,6.94,9.64,3.68,0,Medium,Stable,Academic Pressure,2026-03-18 21:00:00
72,6,2026-03-19,2026-03-25,53.6,7.17,9.37,3.38,0,Medium,Stable,High Screen Time,2026-03-25 21:00:00
73,7,2026-01-01,2026-01-07,49.53,7.11,7.25,3.46,0,Medium,Increasing,Low Mood,2026-01-07 21:00:00
74,7,2026-01-08,2026-01-14,47.98,7.39,8.0,3.26,0,Medium,Stable,High Screen Time,2026-01-14 21:00:00
75,7,2026-01-15,2026-01-21,48.85,6.53,7.69,3.99,0,Medium,Stable,High Screen Time,2026-01-21 21:00:00
76,7,2026-01-22,2026-01-28,53.33,6.93,7.45,3.29,0,Medium,Stable,Low Mood,2026-01-28 21:00:00
77,7,2026-01-29,2026-02-04,63.13,6.36,7.68,5.07,1,Medium,Stable,Academic Pressure,2026-02-04 21:00:00
78,7,2026-02-05,2026-02-11,48.12,6.52,8.0,3.72,0,Medium,Increasing,High Screen Time,2026-02-11 21:00:00
79,7,2026-02-12,2026-02-18,53.87,6.66,7.25,3.52,0,Medium,Decreasing,Low Physical Activity,2026-02-18 21:00:00
80,7,2026-02-19,2026-02-25,50.27,6.86,8.17,3.27,0,Medium,Stable,High Screen Time,2026-02-25 21:00:00
81,7,2026-02-26,2026-03-04,48.48,7.16,7.87,3.75,0,Medium,Stable,High Screen Time,2026-03-04 21:00:00
82,7,2026-03-05,2026-03-11,51.12,7.17,7.96,2.98,0,Medium,Increasing,High Screen Time,2026-03-11 21:00:00
83,7,2026-03-12,2026-03-18,60.82,6.4,8.22,5.21,0,Medium,Stable,Low Mood,2026-03-18 21:00:00
84,7,2026-03-19,2026-03-25,52.84,6.86,8.33,3.79,0,Medium,Stable,Low Mood,2026-03-25 21:00:00
85,8,2026-01-01,2026-01-07,48.42,7.09,6.22,2.9,0,Medium,Stable,Stable Routine,2026-01-07 21:00:00
86,8,2026-01-08,2026-01-14,47.43,6.89,5.88,2.46,0,Medium,Stable,High Caffeine Intake,2026-01-14 21:00:00
87,8,2026-01-15,2026-01-21,54.51,7.31,6.32,2.69,0,Medium,Stable,Low Mood,2026-01-21 21:00:00
88,8,2026-01-22,2026-01-28,49.07,7.37,6.02,2.18,0,Medium,Stable,Financial Worry,2026-01-28 21:00:00
89,8,2026-01-29,2026-02-04,64.43,6.53,6.98,4.99,1,Medium,Decreasing,Academic Pressure,2026-02-04 21:00:00
90,8,2026-02-05,2026-02-11,48.88,7.06,5.86,3.22,0,Medium,Stable,Low Mood,2026-02-11 21:00:00
91,8,2026-02-12,2026-02-18,50.94,6.31,5.65,2.86,0,Medium,Stable,Low Mood,2026-02-18 21:00:00
92,8,2026-02-19,2026-02-25,53.79,7.07,5.54,2.33,0,Medium,Stable,Low Mood,2026-02-25 21:00:00
93,8,2026-02-26,2026-03-04,53.54,7.04,5.86,3.19,0,Medium,Increasing,High Caffeine Intake,2026-03-04 21:00:00
94,8,2026-03-05,2026-03-11,48.19,7.15,4.78,2.23,0,Medium,Decreasing,High Caffeine Intake,2026-03-11 21:00:00
95,8,2026-03-12,2026-03-18,67.66,5.87,6.97,3.7,4,High,Stable,Academic Pressure,2026-03-18 21:00:00
96,8,2026-03-19,2026-03-25,56.68,6.91,6.02,2.68,0,Medium,Stable,Low Mood,2026-03-25 21:00:00
97,9,2026-01-01,2026-01-07,53.26,6.81,4.24,5.82,0,Medium,Increasing,Low Mood,2026-01-07 21:00:00
98,9,2026-01-08,2026-01-14,48.42,7.12,4.95,5.46,0,Medium,Stable,Low Physical Activity,2026-01-14 21:00:00
99,9,2026-01-15,2026-01-21,46.04,7.47,3.65,5.77,0,Medium,Increasing,Low Physical Activity,2026-01-21 21:00:00
100,9,2026-01-22,2026-01-28,48.64,6.73,3.88,5.36,0,Medium,Decreasing,Low Physical Activity,2026-01-28 21:00:00
101,9,2026-01-29,2026-02-04,60.78,6.61,4.96,7.62,0,Medium,Stable,Academic Pressure,2026-02-04 21:00:00
102,9,2026-02-05,2026-02-11,48.87,6.9,4.67,5.11,0,Medium,Stable,Low Mood,2026-02-11 21:00:00
103,9,2026-02-12,2026-02-18,45.64,7.31,4.14,5.73,0,Medium,Stable,Low Physical Activity,2026-02-18 21:00:00
104,9,2026-02-19,2026-02-25,46.12,6.76,3.73,5.06,0,Medium,Stable,Low Physical Activity,2026-02-25 21:00:00
105,9,2026-02-26,2026-03-04,46.03,7.22,3.97,5.47,0,Medium,Stable,Low Mood,2026-03-04 21:00:00
106,9,2026-03-05,2026-03-11,51.93,7.37,3.72,5.24,0,Medium,Increasing,Low Mood,2026-03-11 21:00:00
107,9,2026-03-12,2026-03-18,61.91,6.83,4.96,6.97,1,Medium,Stable,High Fatigue,2026-03-18 21:00:00
108,9,2026-03-19,2026-03-25,47.05,6.99,4.21,5.59,0,Medium,Stable,Low Mood,2026-03-25 21:00:00
109,10,2026-01-01,2026-01-07,57.83,6.07,8.33,4.52,1,Medium,Decreasing,Low Mood,2026-01-07 21:00:00
110,10,2026-01-08,2026-01-14,60.78,6.1,8.87,5.89,1,Medium,Increasing,Academic Pressure,2026-01-14 21:00:00
111,10,2026-01-15,2026-01-21,60.98,5.93,8.63,5.66,1,Medium,Stable,Low Mood,2026-01-21 21:00:00
112,10,2026-01-22,2026-01-28,60.9,5.73,8.17,5.36,2,Medium,Decreasing,Academic Pressure,2026-01-28 21:00:00
113,10,2026-01-29,2026-02-04,71.98,5.39,9.36,7.69,5,High,Increasing,Academic Pressure,2026-02-04 21:00:00
114,10,2026-02-05,2026-02-11,62.64,5.92,9.28,5.63,1,Medium,Decreasing,Academic Pressure,2026-02-11 21:00:00
115,10,2026-02-12,2026-02-18,55.73,6.43,8.77,6.3,0,Medium,Stable,Low Mood,2026-02-18 21:00:00
116,10,2026-02-19,2026-02-25,62.9,6.0,8.79,4.85,3,Medium,Stable,Academic Pressure,2026-02-25 21:00:00
117,10,2026-02-26,2026-03-04,60.71,6.27,8.31,4.97,1,Medium,Increasing,Low Mood,2026-03-04 21:00:00
118,10,2026-03-05,2026-03-11,62.8,6.25,9.47,5.49,0,Medium,Stable,Academic Pressure,2026-03-11 21:00:00
119,10,2026-03-12,2026-03-18,73.64,5.65,10.43,7.46,5,High,Stable,Academic Pressure,2026-03-18 21:00:00
120,10,2026-03-19,2026-03-25,64.88,5.67,8.68,5.28,2,Medium,Stable,Academic Pressure,2026-03-25 21:00:00
121,11,2026-01-01,2026-01-07,56.55,8.07,7.92,3.64,0,Medium,Increasing,High Screen Time,2026-01-07 21:00:00
122,11,2026-01-08,2026-01-14,49.44,8.21,6.92,3.92,0,Medium,Stable,Low Mood,2026-01-14 21:00:00
123,11,2026-01-15,2026-01-21,52.77,8.21,7.56,4.48,0,Medium,Stable,Academic Pressure,2026-01-21 21:00:00
124,11,2026-01-22,2026-01-28,55.05,8.09,7.53,3.12,0,Medium,Stable,Low Mood,2026-01-28 21:00:00
125,11,2026-01-29,2026-02-04,63.9,7.68,8.33,6.15,1,Medium,Stable,Academic Pressure,2026-02-04 21:00:00
126,11,2026-02-05,2026-02-11,54.15,8.1,8.15,4.24,0,Medium,Stable,Academic Pressure,2026-02-11 21:00:00
127,11,2026-02-12,2026-02-18,50.84,8.33,7.1,4.3,0,Medium,Stable,Stable Routine,2026-02-18 21:00:00
128,11,2026-02-19,2026-02-25,50.66,8.3,7.46,3.95,0,Medium,Stable,Low Mood,2026-02-25 21:00:00
129,11,2026-02-26,2026-03-04,55.38,8.75,8.38,3.84,0,Medium,Decreasing,Academic Pressure,2026-03-04 21:00:00
130,11,2026-03-05,2026-03-11,53.13,8.38,7.21,3.82,0,Medium,Stable,Low Mood,2026-03-11 21:00:00
131,11,2026-03-12,2026-03-18,69.57,8.1,7.98,5.97,3,Medium,Stable,Academic Pressure,2026-03-18 21:00:00
132,11,2026-03-19,2026-03-25,56.03,8.29,7.15,3.76,0,Medium,Stable,Academic Pressure,2026-03-25 21:00:00
133,12,2026-01-01,2026-01-07,55.27,7.2,6.7,5.26,0,Medium,Stable,Low Mood,2026-01-07 21:00:00
134,12,2026-01-08,2026-01-14,58.17,6.56,6.45,4.68,1,Medium,Stable,Academic Pressure,2026-01-14 21:00:00
135,12,2026-01-15,2026-01-21,51.49,6.77,6.4,4.99,0,Medium,Stable,Stable Routine,2026-01-21 21:00:00
136,12,2026-01-22,2026-01-28,53.6,6.81,6.42,5.0,0,Medium,Stable,Academic Pressure,2026-01-28 21:00:00
137,12,2026-01-29,2026-02-04,73.35,6.23,7.33,7.11,6,High,Increasing,Academic Pressure,2026-02-04 21:00:00
138,12,2026-02-05,2026-02-11,61.93,6.46,6.45,5.01,2,Medium,Decreasing,Academic Pressure,2026-02-11 21:00:00
139,12,2026-02-12,2026-02-18,55.79,6.87,5.55,5.16,0,Medium,Increasing,Academic Pressure,2026-02-18 21:00:00
140,12,2026-02-19,2026-02-25,60.3,7.11,6.85,5.19,0,Medium,Decreasing,Academic Pressure,2026-02-25 21:00:00
141,12,2026-02-26,2026-03-04,53.3,6.59,6.05,5.0,0,Medium,Increasing,Academic Pressure,2026-03-04 21:00:00
142,12,2026-03-05,2026-03-11,58.04,6.34,6.56,4.89,1,Medium,Decreasing,Academic Pressure,2026-03-11 21:00:00
143,12,2026-03-12,2026-03-18,68.62,6.23,7.91,7.14,3,Medium,Increasing,Academic Pressure,2026-03-18 21:00:00
144,12,2026-03-19,2026-03-25,60.66,6.22,6.54,4.46,2,Medium,Stable,Academic Pressure,2026-03-25 21:00:00
145,13,2026-01-01,2026-01-07,46.96,7.98,5.22,3.64,0,Medium,Decreasing,Low Mood,2026-01-07 21:00:00
146,13,2026-01-08,2026-01-14,49.2,8.23,4.3,3.32,0,Medium,Decreasing,Stable Routine,2026-01-14 21:00:00
147,13,2026-01-15,2026-01-21,40.71,7.47,4.84,3.75,0,Medium,Stable,Low Physical Activity,2026-01-21 21:00:00
148,13,2026-01-22,2026-01-28,48.91,7.48,4.9,3.83,0,Medium,Decreasing,Stable Routine,2026-01-28 21:00:00
149,13,2026-01-29,2026-02-04,60.27,7.35,6.3,5.94,1,Medium,Stable,Low Mood,2026-02-04 21:00:00
150,13,2026-02-05,2026-02-11,47.98,7.73,5.54,3.66,0,Medium,Decreasing,Low Mood,2026-02-11 21:00:00
151,13,2026-02-12,2026-02-18,50.59,7.81,4.91,3.61,0,Medium,Stable,Low Mood,2026-02-18 21:00:00
152,13,2026-02-19,2026-02-25,45.77,8.18,5.06,3.75,0,Medium,Stable,Stable Routine,2026-02-25 21:00:00
153,13,2026-02-26,2026-03-04,47.75,8.09,5.62,3.56,0,Medium,Decreasing,Financial Worry,2026-03-04 21:00:00
154,13,2026-03-05,2026-03-11,48.41,7.32,4.71,3.23,0,Medium,Increasing,Low Mood,2026-03-11 21:00:00
155,13,2026-03-12,2026-03-18,61.83,7.1,5.99,4.67,0,Medium,Increasing,Academic Pressure,2026-03-18 21:00:00
156,13,2026-03-19,2026-03-25,53.21,7.5,5.39,3.0,0,Medium,Decreasing,Academic Pressure,2026-03-25 21:00:00
157,14,2026-01-01,2026-01-07,52.79,6.8,5.46,5.28,0,Medium,Stable,Academic Pressure,2026-01-07 21:00:00
158,14,2026-01-08,2026-01-14,51.58,6.62,5.5,4.24,0,Medium,Stable,Stable Routine,2026-01-14 21:00:00
159,14,2026-01-15,2026-01-21,53.9,6.69,6.11,4.88,0,Medium,Stable,Academic Pressure,2026-01-21 21:00:00
160,14,2026-01-22,2026-01-28,57.16,6.66,5.82,4.14,1,Medium,Increasing,Academic Pressure,2026-01-28 21:00:00
161,14,2026-01-29,2026-02-04,65.78,6.57,6.39,6.37,3,Medium,Decreasing,Academic Pressure,2026-02-04 21:00:00
162,14,2026-02-05,2026-02-11,52.91,7.4,6.03,4.88,0,Medium,Decreasing,Academic Pressure,2026-02-11 21:00:00
163,14,2026-02-12,2026-02-18,51.46,6.79,6.1,4.84,0,Medium,Stable,Academic Pressure,2026-02-18 21:00:00
164,14,2026-02-19,2026-02-25,51.84,6.87,6.05,4.78,0,Medium,Increasing,Academic Pressure,2026-02-25 21:00:00
165,14,2026-02-26,2026-03-04,53.46,6.91,5.91,4.34,0,Medium,Stable,Low Mood,2026-03-04 21:00:00
166,14,2026-03-05,2026-03-11,59.41,6.69,6.02,4.59,1,Medium,Decreasing,Academic Pressure,2026-03-11 21:00:00
167,14,2026-03-12,2026-03-18,71.0,5.98,6.78,6.5,4,High,Stable,Academic Pressure,2026-03-18 21:00:00
168,14,2026-03-19,2026-03-25,57.67,6.72,6.01,5.37,0,Medium,Increasing,Academic Pressure,2026-03-25 21:00:00
169,15,2026-01-01,2026-01-07,45.83,7.58,4.78,2.95,0,Medium,Stable,High Caffeine Intake,2026-01-07 21:00:00
170,15,2026-01-08,2026-01-14,46.49,7.7,4.38,3.21,0,Medium,Stable,Low Physical Activity,2026-01-14 21:00:00
171,15,2026-01-15,2026-01-21,46.98,7.79,4.01,3.54,0,Medium,Stable,High Caffeine Intake,2026-01-21 21:00:00
172,15,2026-01-22,2026-01-28,48.33,8.11,4.3,3.07,0,Medium,Decreasing,Low Physical Activity,2026-01-28 21:00:00
173,15,2026-01-29,2026-02-04,60.42,7.57,5.58,4.9,1,Medium,Increasing,Academic Pressure,2026-02-04 21:00:00
174,15,2026-02-05,2026-02-11,51.76,7.93,4.31,3.4,0,Medium,Stable,Low Mood,2026-02-11 21:00:00
175,15,2026-02-12,2026-02-18,46.86,8.19,4.74,2.95,0,Medium,Stable,Low Mood,2026-02-18 21:00:00
176,15,2026-02-19,2026-02-25,52.85,7.64,4.71,3.05,0,Medium,Stable,Low Mood,2026-02-25 21:00:00
177,15,2026-02-26,2026-03-04,43.64,7.87,3.97,4.47,0,Medium,Decreasing,Low Physical Activity,2026-03-04 21:00:00
178,15,2026-03-05,2026-03-11,44.83,7.67,4.37,3.76,0,Medium,Stable,Low Physical Activity,2026-03-11 21:00:00
179,15,2026-03-12,2026-03-18,60.01,7.72,6.05,5.17,1,Medium,Decreasing,Academic Pressure,2026-03-18 21:00:00
180,15,2026-03-19,2026-03-25,51.24,8.23,5.08,3.87,0,Medium,Increasing,High Caffeine Intake,2026-03-25 21:00:00
181,16,2026-01-01,2026-01-07,47.89,6.99,4.74,3.83,0,Medium,Stable,Low Mood,2026-01-07 21:00:00
182,16,2026-01-08,2026-01-14,50.44,6.97,4.92,3.15,0,Medium,Stable,Low Mood,2026-01-14 21:00:00
183,16,2026-01-15,2026-01-21,53.95,6.8,4.32,2.93,0,Medium,Decreasing,Academic Pressure,2026-01-21 21:00:00
184,16,2026-01-22,2026-01-28,46.22,6.52,4.65,3.45,0,Medium,Decreasing,Stable Routine,2026-01-28 21:00:00
185,16,2026-01-29,2026-02-04,65.7,6.08,5.5,5.61,3,Medium,Stable,Academic Pressure,2026-02-04 21:00:00
186,16,2026-02-05,2026-02-11,55.46,6.92,4.88,3.72,0,Medium,Stable,Academic Pressure,2026-02-11 21:00:00
187,16,2026-02-12,2026-02-18,44.48,6.88,4.29,3.78,0,Medium,Increasing,Low Mood,2026-02-18 21:00:00
188,16,2026-02-19,2026-02-25,49.94,6.85,5.18,3.54,0,Medium,Stable,Stable Routine,2026-02-25 21:00:00
189,16,2026-02-26,2026-03-04,52.24,6.73,3.32,3.15,0,Medium,Stable,Academic Pressure,2026-03-04 21:00:00
190,16,2026-03-05,2026-03-11,46.14,6.73,5.01,4.19,0,Medium,Increasing,Low Mood,2026-03-11 21:00:00
191,16,2026-03-12,2026-03-18,68.18,6.28,5.28,4.94,5,High,Increasing,Academic Pressure,2026-03-18 21:00:00
192,16,2026-03-19,2026-03-25,57.44,6.49,4.78,4.68,1,Medium,Stable,Academic Pressure,2026-03-25 21:00:00
193,17,2026-01-01,2026-01-07,56.16,6.86,6.88,3.75,1,Medium,Increasing,Low Mood,2026-01-07 21:00:00
194,17,2026-01-08,2026-01-14,56.96,6.86,6.88,3.85,0,Medium,Decreasing,Low Mood,2026-01-14 21:00:00
195,17,2026-01-15,2026-01-21,55.13,6.58,6.87,4.56,0,Medium,Stable,Low Mood,2026-01-21 21:00:00
196,17,2026-01-22,2026-01-28,54.69,6.66,6.75,3.27,0,Medium,Stable,Academic Pressure,2026-01-28 21:00:00
197,17,2026-01-29,2026-02-04,71.16,5.52,7.35,5.88,4,High,Stable,Academic Pressure,2026-02-04 21:00:00
198,17,2026-02-05,2026-02-11,55.46,6.74,6.09,4.27,1,Medium,Stable,Academic Pressure,2026-02-11 21:00:00
199,17,2026-02-12,2026-02-18,54.98,6.87,5.94,3.66,0,Medium,Decreasing,Academic Pressure,2026-02-18 21:00:00
200,17,2026-02-19,2026-02-25,56.23,6.34,6.47,3.93,1,Medium,Increasing,Academic Pressure,2026-02-25 21:00:00
201,17,2026-02-26,2026-03-04,55.05,6.33,6.9,4.36,0,Medium,Stable,Low Mood,2026-03-04 21:00:00
202,17,2026-03-05,2026-03-11,56.65,6.36,6.73,4.09,0,Medium,Stable,Low Mood,2026-03-11 21:00:00
203,17,2026-03-12,2026-03-18,72.25,6.21,7.24,5.76,5,High,Stable,Academic Pressure,2026-03-18 21:00:00
204,17,2026-03-19,2026-03-25,57.25,6.74,6.69,4.4,1,Medium,Decreasing,Low Mood,2026-03-25 21:00:00
205,18,2026-01-01,2026-01-07,60.94,5.51,7.23,3.74,1,Medium,Stable,Academic Pressure,2026-01-07 21:00:00
206,18,2026-01-08,2026-01-14,58.26,6.48,7.01,3.35,0,Medium,Stable,Academic Pressure,2026-01-14 21:00:00
207,18,2026-01-15,2026-01-21,59.45,6.41,6.78,4.24,0,Medium,Decreasing,Academic Pressure,2026-01-21 21:00:00
208,18,2026-01-22,2026-01-28,58.64,6.1,6.62,3.37,0,Medium,Stable,Low Mood,2026-01-28 21:00:00
209,18,2026-01-29,2026-02-04,72.94,5.5,7.88,5.2,4,High,Stable,Academic Pressure,2026-02-04 21:00:00
210,18,2026-02-05,2026-02-11,61.16,6.12,7.16,3.83,2,Medium,Decreasing,Academic Pressure,2026-02-11 21:00:00
211,18,2026-02-12,2026-02-18,56.08,6.14,6.72,4.46,0,Medium,Stable,Sleep Deficit,2026-02-18 21:00:00
212,18,2026-02-19,2026-02-25,63.83,5.77,7.27,3.57,1,Medium,Stable,Low Mood,2026-02-25 21:00:00
213,18,2026-02-26,2026-03-04,67.24,5.63,7.52,4.42,2,Medium,Stable,Low Mood,2026-03-04 21:00:00
