sleep_hours,study_hours,screen_time_hours,social_media_hours,physical_activity_minutes,caffeine_intake_mg,mood_score,fatigue_level,assignment_load,deadline_pressure,social_interaction_score,financial_worry_score,health_condition_score,stress_level
7.21,3.89,7.32,2.65,14,244,1,9,10,9,3,4,6,High
6.5,3.58,8.42,3.12,26,223,4,6,7,8,7,3,7,Medium
6.18,4.86,8.4,3.3,11,129,4,7,10,9,6,4,6,Medium
7.01,5.12,7.93,3.79,0,110,4,7,10,10,6,9,7,Medium
6.99,2.89,5.9,4.22,16,56,5,8,6,5,6,6,6,Medium
6.86,4.57,8.45,4.22,22,89,2,8,5,8,8,3,5,Medium
7.04,2.18,7.96,4.13,28,138,6,5,6,5,8,3,6,Medium
7.56,2.18,8.05,3.74,32,95,5,6,4,4,5,5,4,Medium
7.03,2.64,6.85,4.2,14,118,3,7,8,6,7,6,3,Medium
6.55,4.42,7.3,4.41,17,146,4,6,7,8,6,4,6,Medium
7.33,3.43,7.8,5.52,35,122,4,3,8,6,3,4,7,Medium
8.16,4.17,7.29,4.71,0,155,5,7,8,4,6,5,8,Medium
7.54,3.3,7.45,4.12,35,90,5,6,7,6,9,3,6,Medium
6.79,2.6,8.28,5.16,14,193,3,8,9,7,5,2,7,Medium
7.5,3.79,7.79,3.44,54,149,5,6,7,8,5,5,8,Medium
7.95,5.44,7.0,3.53,23,145,4,7,8,4,6,3,4,Medium
7.61,3.92,6.22,4.22,21,241,5,5,6,4,2,4,6,Medium
7.53,5.7,8.63,4.0,11,296,5,6,7,6,6,3,5,Medium
7.05,3.3,6.79,4.24,22,232,1,7,3,8,6,4,4,Medium
6.92,1.94,9.66,5.28,40,185,3,7,5,6,8,4,6,Medium
7.88,3.49,7.55,4.22,12,156,3,6,8,6,9,4,5,Medium
7.75,3.14,6.1,3.16,32,64,5,7,9,3,6,3,6,Medium
7.05,4.95,7.62,4.27,20,138,6,4,7,4,7,4,7,Medium
7.3,3.31,6.73,4.22,13,166,4,6,4,8,8,7,7,Medium
5.88,2.57,6.88,4.19,31,98,3,6,7,5,5,2,5,Medium
7.76,2.9,10.14,4.49,27,90,8,6,8,6,6,6,5,Medium
7.4,4.82,7.28,5.85,0,108,2,6,8,8,6,4,6,Medium
7.83,3.23,6.57,4.92,32,175,4,6,8,8,4,5,6,Medium
7.25,2.57,6.43,4.86,24,182,3,7,7,7,6,4,5,Medium
6.87,4.07,7.03,4.99,14,130,5,6,6,9,4,5,7,Medium
7.13,4.91,6.99,5.09,52,119,3,8,6,9,6,4,4,Medium
6.48,2.84,6.74,4.15,28,234,4,6,5,8,7,3,7,Medium
7.18,4.34,7.8,5.77,17,109,6,5,6,6,9,3,5,Medium
7.73,2.5,8.54,4.8,7,234,5,5,9,6,8,5,8,Medium
7.31,2.25,6.53,4.2,24,249,6,6,6,7,10,3,6,Medium
7.75,4.53,9.35,4.55,20,177,5,6,8,8,8,6,7,Medium
6.96,3.99,8.71,3.64,29,118,4,6,7,8,4,5,7,High
8.48,3.54,7.73,4.33,44,136,4,5,7,7,7,6,5,Medium
6.61,4.95,9.7,2.98,11,224,6,7,10,9,3,1,6,Medium
6.2,4.63,9.22,4.13,11,124,5,8,10,10,4,2,5,High
6.84,5.09,8.67,4.7,3,288,4,8,9,10,7,5,6,High
7.74,5.04,9.62,4.41,35,161,5,5,10,9,5,5,6,Medium
6.23,3.76,8.05,4.22,0,247,4,6,10,9,6,2,7,High
7.09,5.43,8.53,4.11,0,186,6,7,8,7,7,3,6,Medium
7.43,6.57,8.57,3.55,26,225,2,8,10,10,8,5,8,High
6.07,7.38,8.7,3.55,12,182,4,7,9,9,9,7,6,Medium
7.1,3.97,8.12,3.51,22,41,7,5,7,7,4,2,7,Medium
8.1,4.73,7.45,5.37,24,131,7,3,8,7,9,3,7,Medium
7.74,3.31,7.36,4.23,0,212,1,6,7,6,9,2,6,Medium
6.34,2.55,8.67,3.87,29,138,6,5,7,7,5,2,6,Medium
8.05,4.7,7.16,3.94,21,266,5,6,7,7,6,4,6,Medium
7.05,4.58,7.56,4.65,24,146,5,6,4,8,1,7,6,Medium
7.79,2.81,8.12,3.49,17,256,4,7,6,7,7,5,8,Medium
7.04,4.05,8.56,4.89,39,180,5,5,5,9,5,4,7,Medium
7.63,3.47,9.52,4.97,22,199,5,7,8,5,6,6,6,Medium
7.5,2.87,7.92,3.96,7,237,5,3,6,5,5,7,8,Medium
6.63,6.1,8.49,3.96,0,279,7,8,5,4,9,5,6,Medium
7.63,4.61,7.79,4.24,24,96,4,5,6,4,4,5,8,Medium
7.38,2.82,5.44,4.53,16,116,4,5,8,8,5,3,5,Medium
8.53,1.03,4.52,3.18,25,124,4,5,9,6,10,2,7,Medium
8.15,1.89,5.43,4.06,15,133,3,4,9,10,7,8,6,Medium
8.8,3.15,5.06,4.52,34,119,5,3,7,6,5,4,6,Medium
7.54,0.72,5.55,4.19,0,164,5,7,9,5,5,4,6,Medium
7.44,2.81,4.29,3.76,0,135,5,7,6,6,7,3,5,Medium
8.18,2.41,7.53,3.9,17,123,5,6,8,7,5,2,4,Medium
7.72,1.17,3.06,3.06,44,142,6,5,9,7,6,5,7,Medium
6.95,3.26,5.04,3.16,21,88,4,7,7,7,6,5,7,Medium
7.13,1.33,4.4,4.4,33,215,4,5,7,9,6,4,6,Medium
7.5,2.43,5.22,3.93,29,199,3,6,5,3,6,2,4,Medium
7.74,3.03,4.64,1.96,8,166,5,5,5,7,7,3,7,Medium
7.29,2.25,4.28,3.36,4,132,7,3,10,5,6,3,8,Medium
7.59,4.1,5.89,3.33,40,106,6,7,8,8,6,3,7,Medium
6.95,4.29,5.35,3.41,16,61,3,5,6,9,7,6,7,Medium
8.39,0.72,4.19,4.19,10,127,7,5,9,8,6,6,6,Medium
7.91,3.0,6.12,4.5,27,120,8,3,6,6,5,4,7,Medium
7.59,3.09,6.07,3.27,14,159,5,6,7,10,7,6,6,Medium
6.55,2.67,4.56,3.3,0,216,4,8,7,8,10,5,4,Medium
7.88,2.65,6.5,4.08,13,69,5,5,7,6,9,5,5,Medium
7.68,3.47,4.6,3.56,14,95,3,6,8,7,6,5,6,Medium
8.51,1.87,5.44,4.25,14,36,8,4,5,9,5,5,8,Medium
9.04,3.53,6.82,4.81,21,189,5,5,7,6,6,5,7,Medium
7.8,2.95,4.47,4.47,6,30,5,7,7,7,5,7,7,Medium
7.77,2.05,4.26,3.4,27,255,5,4,10,6,3,5,6,Medium
7.09,0.68,5.73,3.3,0,0,2,8,7,10,5,5,4,Medium
7.58,3.04,6.44,3.58,14,89,5,6,6,7,5,6,6,Medium
6.82,3.33,3.79,3.72,16,185,3,5,9,10,7,2,7,Medium
5.96,4.54,6.18,2.4,21,158,2,9,8,10,6,5,6,High
7.3,2.91,5.79,4.0,0,27,3,4,10,10,8,7,6,Medium
7.59,3.09,7.99,3.53,0,173,3,9,8,10,6,4,3,High
7.41,3.99,6.03,5.52,11,157,2,7,9,10,7,3,8,Medium
7.54,3.63,7.5,3.49,17,231,3,8,8,8,5,3,6,Medium
7.59,3.0,6.24,4.36,6,229,5,6,8,10,8,8,7,Medium
7.05,4.27,5.86,3.67,4,212,5,8,10,8,6,1,5,Medium
8.23,2.25,4.22,3.32,14,175,4,4,7,7,9,4,8,Medium
8.73,2.47,5.18,4.41,14,88,4,6,8,5,7,5,6,Medium
8.12,1.0,6.49,3.27,16,258,5,6,6,6,8,5,7,Medium
8.11,2.68,4.97,4.08,37,134,2,5,6,9,8,3,6,Medium
7.6,2.46,5.92,3.36,20,156,6,4,8,8,5,5,7,Medium
8.58,2.05,4.87,3.63,11,190,7,3,5,6,9,4,6,Low
7.43,3.43,4.29,3.8,26,172,6,2,8,9,5,2,8,Low
8.28,2.14,6.17,4.69,30,240,5,3,8,7,5,8,7,Medium
7.82,2.02,5.66,5.66,7,154,5,4,6,5,6,3,5,Medium
7.68,0.0,6.37,4.2,0,123,1,7,6,8,7,4,6,Medium
7.53,1.52,4.9,3.13,27,143,3,4,10,7,3,2,7,Medium
7.72,0.69,6.11,3.33,16,239,2,4,9,7,5,4,5,Medium
7.3,2.35,4.99,3.22,16,169,4,5,6,9,8,5,7,Medium
7.58,1.66,5.58,2.9,16,140,5,3,7,7,6,4,6,Medium
7.59,1.41,6.18,3.92,6,249,3,6,6,9,9,4,6,Medium
7.91,1.34,6.43,4.66,0,220,10,7,5,9,6,3,5,Medium
7.54,2.25,6.92,5.05,7,129,6,7,5,6,5,3,6,Medium
7.57,1.46,5.64,3.34,14,175,5,5,7,6,6,4,8,Medium
7.75,1.98,5.91,3.43,28,164,4,3,7,8,4,4,9,Medium
8.84,2.91,5.72,3.72,8,95,3,4,7,7,8,3,7,Medium
8.74,1.35,2.68,2.68,27,260,5,4,6,8,10,2,7,Medium
7.69,3.36,5.31,3.85,10,158,5,5,7,8,6,6,6,Medium
6.59,2.73,4.71,3.72,7,224,4,7,4,10,7,5,6,Medium
8.16,2.03,5.7,4.02,12,130,7,1,9,8,7,4,7,Medium
8.12,3.22,4.44,3.91,3,59,5,6,7,8,8,5,5,Medium
7.67,3.07,5.97,4.42,23,163,5,4,9,7,5,3,6,Medium
6.87,1.96,3.32,3.32,14,93,4,3,8,9,5,3,8,Medium
7.26,2.01,3.21,3.21,0,146,1,3,8,9,7,7,8,Medium
7.53,1.78,6.02,3.01,20,172,3,6,9,10,6,2,5,Medium
7.47,0.95,5.77,3.61,28,142,5,6,7,7,6,3,6,Medium
6.86,0.65,5.14,4.72,17,156,4,6,9,7,7,3,3,Medium
7.3,3.7,6.14,4.27,29,156,6,5,8,6,8,4,6,Medium
7.39,2.87,3.77,2.15,8,156,7,4,7,7,7,5,7,Medium
6.65,3.31,5.14,4.08,1,49,3,5,9,8,8,2,8,Medium
6.25,4.71,5.89,3.84,1,192,3,8,9,8,5,3,3,Medium
6.71,6.49,7.0,3.43,14,203,4,9,10,8,7,5,5,High
7.63,3.86,6.26,3.57,14,295,4,7,8,7,7,5,5,Medium
8.16,1.67,5.79,3.88,0,191,2,6,10,9,5,4,5,High
7.67,4.63,5.1,3.61,13,270,3,5,10,8,5,5,7,Medium
6.79,3.75,6.37,2.9,32,106,3,7,10,10,5,4,7,Medium
5.4,5.61,4.79,3.27,2,237,1,10,7,10,6,3,5,High
6.85,3.43,6.7,4.62,5,245,5,8,8,8,6,4,5,Medium
6.58,2.88,6.1,3.35,9,158,3,8,7,7,6,3,6,Medium
7.62,0.82,6.94,5.07,7,30,2,6,9,6,9,2,7,Medium
7.75,0.52,5.21,4.59,16,177,4,7,10,5,5,2,6,Medium
7.99,2.14,6.73,2.7,14,67,1,5,8,8,7,5,7,Medium
8.19,1.2,5.89,4.42,0,161,4,5,7,7,5,4,5,Medium
6.68,2.95,4.07,4.07,20,156,4,4,6,9,7,5,6,Medium
7.0,3.69,6.95,4.28,15,94,6,6,6,8,7,2,7,Medium
6.74,1.89,5.46,4.94,52,178,4,7,7,8,9,5,7,Medium
8.17,1.89,6.45,3.75,8,76,6,6,8,8,7,5,5,Medium
7.49,2.17,6.46,3.96,13,51,5,6,7,8,7,4,5,Medium
7.84,2.69,5.71,3.3,0,208,4,6,7,6,8,5,6,Medium
6.5,3.48,5.48,3.41,16,35,3,4,8,6,8,3,8,Medium
5.67,1.16,5.38,3.88,26,71,6,7,6,4,3,5,4,Medium
5.88,2.04,3.59,3.31,14,129,4,6,6,5,6,9,7,Medium
5.8,2.15,6.25,3.67,36,208,4,8,4,4,8,7,6,Medium
5.79,2.37,6.61,4.26,25,24,6,6,7,7,6,7,5,Medium
6.28,1.95,5.26,3.67,24,166,6,8,5,3,4,7,5,Medium
6.47,2.42,4.8,3.4,18,61,6,5,5,6,9,5,7,Medium
6.62,2.59,5.11,4.39,32,42,5,5,7,7,7,6,8,Medium
7.83,1.34,3.66,3.66,34,102,4,6,8,4,9,9,5,Medium
5.94,2.98,4.65,3.88,26,1,7,5,6,5,4,7,6,Medium
6.47,2.11,5.78,4.78,37,96,9,5,5,4,9,4,5,Medium
6.96,1.87,5.99,4.25,24,136,4,5,6,2,7,10,7,Medium
6.09,3.04,5.52,4.19,33,240,5,5,4,6,5,5,6,Medium
6.93,3.04,3.79,3.79,17,41,4,8,6,5,4,5,7,Medium
7.66,0.54,3.16,3.16,30,64,6,5,7,2,8,5,6,Low
5.7,2.38,4.14,3.65,14,155,3,6,7,5,6,6,9,Medium
5.58,3.59,6.03,4.09,47,138,5,8,7,6,5,4,6,Medium
7.05,0.69,4.25,4.01,24,80,5,7,3,7,5,6,6,Medium
6.69,2.79,4.3,3.97,31,203,6,6,7,7,7,5,8,Medium
6.75,1.68,4.56,4.11,31,128,4,7,6,8,8,5,6,Medium
7.47,1.9,4.19,3.49,13,69,6,5,6,4,5,8,7,Medium
6.97,1.46,5.89,3.2,37,126,6,5,7,4,5,7,5,Medium
6.85,0.89,5.59,4.32,17,151,3,4,6,5,7,4,7,Medium
6.48,2.0,5.13,4.2,35,136,6,4,7,6,8,5,6,Medium
6.62,1.19,5.77,5.34,39,37,5,6,7,8,10,8,7,Medium
6.98,2.27,5.06,3.68,45,67,6,4,8,7,3,7,8,Medium
5.91,2.25,6.99,3.58,13,205,5,8,9,6,5,5,7,Medium
7.39,2.68,4.16,4.16,19,96,5,6,7,8,7,6,7,Medium
4.1,3.63,6.28,2.96,23,164,3,8,10,10,6,5,6,High
5.26,2.79,6.66,4.12,9,120,3,9,7,8,7,5,5,Medium
5.96,2.38,6.26,3.21,13,159,4,7,8,8,8,5,4,High
5.42,2.63,6.08,3.71,3,149,3,7,8,9,5,6,5,High
6.12,2.14,5.68,3.91,21,338,2,7,9,6,6,5,7,High
5.39,3.81,5.4,4.84,15,286,4,8,9,9,3,6,6,High
5.72,2.52,5.98,4.82,34,172,4,5,9,7,8,6,6,Medium
5.55,5.83,7.66,5.15,17,194,4,7,6,10,4,5,5,Medium
5.9,1.58,4.49,4.45,13,129,5,5,8,5,8,6,6,Medium
6.96,0.22,6.12,4.68,22,66,3,7,5,7,8,3,5,Medium
6.63,0.41,4.5,3.98,29,105,6,5,3,3,2,5,6,Medium
7.2,1.74,5.42,4.0,0,162,1,10,6,7,9,6,5,Medium
6.27,1.7,4.47,4.13,8,120,7,5,5,4,5,7,5,Medium
6.79,2.81,6.89,3.8,34,122,4,7,8,5,6,6,6,Medium
6.22,2.34,6.61,4.55,36,89,6,7,5,7,5,6,4,Medium
6.04,3.12,4.57,4.33,24,136,6,2,4,6,4,8,8,Medium
6.95,2.84,4.49,4.49,37,102,5,4,8,4,6,4,8,Medium
6.48,1.67,4.87,3.23,29,1,5,8,6,4,7,8,5,Medium
6.65,2.32,5.3,4.74,35,133,5,6,4,4,4,10,8,Medium
6.33,2.19,4.82,3.29,27,132,3,5,4,6,5,5,8,Medium
6.66,0.79,5.52,2.91,39,88,3,4,6,8,5,8,5,Medium
4.46,1.67,5.59,4.69,20,91,5,6,8,3,7,5,6,Medium
4.68,1.46,5.49,5.49,27,143,4,6,6,6,7,6,5,Medium
6.79,2.04,3.39,3.39,22,142,5,4,8,4,6,9,6,Medium
6.29,1.53,4.23,4.01,30,96,6,4,6,5,10,6,7,Medium
6.75,0.85,6.74,4.04,45,72,4,7,9,7,6,8,6,Medium
5.02,1.0,4.85,4.11,25,189,6,4,3,6,6,7,6,Medium
7.13,3.16,5.62,3.83,33,74,3,7,7,8,7,4,7,Medium
6.59,0.25,3.88,3.73,25,44,4,5,7,6,8,9,6,Medium
5.9,2.61,4.68,3.82,35,2,4,6,8,6,6,3,8,Medium
6.68,1.76,6.39,3.75,31,100,4,6,7,3,8,7,5,Medium
6.19,1.21,4.54,4.54,21,0,4,4,6,4,7,8,7,Medium
5.9,2.58,4.58,3.46,12,11,4,6,6,6,5,7,5,Medium
6.8,1.12,4.28,2.96,20,175,3,6,7,7,6,5,8,Medium
5.52,3.02,5.93,5.1,21,159,3,5,9,5,8,3,6,Medium
6.58,2.31,5.46,4.06,41,120,5,7,5,5,7,8,5,Medium
7.38,3.65,5.77,5.07,6,85,6,4,5,7,9,7,7,Low
6.01,0.48,6.69,4.01,25,91,2,9,3,4,7,8,4,Medium
6.77,2.26,5.45,5.45,6,180,3,6,6,7,7,3,7,Medium
6.49,2.76,6.09,4.15,25,63,3,8,5,8,6,5,7,Medium
6.73,4.06,4.16,3.67,29,155,5,7,6,4,5,8,7,Medium
6.39,2.2,5.59,3.35,26,120,4,8,7,3,6,5,5,Medium
5.08,5.02,7.1,4.06,23,282,6,9,8,6,4,6,6,Medium
6.06,2.14,7.56,5.72,21,122,4,9,6,8,6,5,4,Medium
6.64,4.04,4.89,4.89,26,260,5,7,6,6,10,7,6,Medium
5.08,5.15,5.07,4.77,15,272,3,7,9,8,7,6,5,Medium
5.64,4.0,3.91,3.91,7,107,4,6,6,5,9,5,6,Medium
6.01,4.05,5.96,4.01,36,285,3,7,6,6,7,5,8,Medium
6.52,4.13,7.06,4.43,12,127,2,7,8,9,4,6,6,Medium
7.58,0.74,5.54,4.88,53,92,5,5,7,7,7,2,7,Medium
6.73,1.1,7.48,3.97,21,120,6,6,5,5,7,4,5,Medium
6.25,1.24,5.86,4.68,5,180,5,7,6,8,8,8,6,Medium
6.23,4.39,5.93,4.29,11,39,5,5,6,6,9,7,5,Medium
6.23,1.32,4.65,3.64,20,41,8,2,6,5,8,5,7,Low
5.54,3.82,6.93,4.01,38,127,4,7,4,5,6,6,6,Medium
6.33,1.06,4.32,3.08,38,0,1,5,8,8,6,6,5,Medium
5.96,3.65,5.7,3.31,7,97,5,6,6,7,10,7,6,Medium
6.53,0.97,6.62,4.0,26,119,5,6,5,4,8,5,7,Medium
6.08,3.03,3.69,3.69,32,68,6,3,7,8,3,5,9,Medium
5.92,0.95,4.84,4.84,4,53,2,6,8,9,10,8,7,Medium
5.77,2.07,4.88,4.01,43,169,5,6,5,8,9,4,6,Medium
6.92,2.33,7.31,5.76,8,212,4,6,6,8,4,6,5,Medium
5.89,1.46,6.02,6.02,21,273,4,5,5,6,5,8,6,Medium
7.35,2.08,9.79,4.6,20,226,3,7,5,8,6,5,8,Medium
6.65,2.26,6.69,5.05,18,76,4,6,6,6,8,7,7,Medium
5.66,1.99,8.28,5.64,0,179,2,9,4,6,5,7,3,Medium
5.89,2.87,6.45,4.91,14,183,4,7,7,6,7,5,6,Medium
5.66,2.24,6.27,4.34,8,170,5,7,8,6,7,5,6,Medium
6.54,2.28,5.0,5.0,32,136,6,6,6,7,4,7,7,Medium
6.21,2.61,8.11,5.63,0,207,4,7,7,6,8,6,4,Medium
6.4,1.65,8.71,5.95,0,307,5,6,7,8,8,8,7,Medium
7.22,1.16,6.91,5.78,16,144,3,5,8,9,7,6,6,Medium
7.18,2.7,7.12,4.13,0,174,8,6,4,8,10,6,6,Medium
6.95,3.98,5.45,3.9,0,192,2,4,7,8,8,5,4,Medium
6.29,3.07,6.96,4.76,3,135,5,7,5,5,7,5,5,Medium
4.89,2.45,8.51,4.1,0,177,2,6,8,6,6,9,6,Medium
6.29,2.6,7.07,4.53,15,171,5,8,7,5,5,8,5,Medium
6.14,0.72,5.71,5.71,0,84,4,6,4,6,5,4,6,Medium
6.29,1.79,6.6,5.68,21,193,4,6,6,7,6,6,6,Medium
5.66,1.26,5.7,4.02,0,167,2,6,5,7,7,7,5,Medium
6.57,1.42,7.18,4.24,0,134,4,5,6,6,7,6,6,Medium
6.29,3.45,5.91,5.38,19,186,2,7,6,6,5,5,7,Medium
6.55,1.31,6.78,4.66,0,169,5,7,5,9,6,6,4,Medium
5.96,2.77,8.38,5.11,1,148,4,6,5,7,6,5,6,Medium
6.51,1.1,6.76,5.77,3,166,3,6,8,4,4,5,7,Medium
7.27,1.72,5.95,5.43,9,168,6,5,4,5,3,6,6,Medium
6.85,2.97,7.67,4.54,0,134,4,7,8,8,7,5,5,High
7.39,1.33,8.7,8.7,21,73,6,4,7,5,8,5,5,Medium
6.24,2.19,7.63,5.68,4,169,5,4,7,6,6,7,7,Medium
4.98,4.25,8.76,5.85,9,263,1,10,9,9,5,5,5,High
6.55,3.48,5.7,4.59,9,250,5,5,9,8,4,9,7,Medium
5.72,2.66,8.39,5.2,11,229,4,8,8,10,5,7,6,High
4.87,5.29,9.78,5.1,0,238,3,9,9,9,9,7,4,High
6.64,5.72,11.24,4.13,1,92,2,10,9,8,3,5,3,High
6.24,2.01,8.11,3.51,0,316,3,8,9,7,7,4,6,Medium
3.99,3.45,7.6,5.27,0,133,2,9,7,9,5,7,5,High
5.69,6.25,6.66,3.66,7,177,6,7,8,7,7,7,4,Medium
5.55,0.0,6.28,5.68,11,144,5,7,7,5,4,6,7,Medium
6.38,2.18,10.3,5.49,10,113,3,7,7,7,7,8,6,Medium
6.29,1.24,8.24,5.11,0,177,5,6,5,5,5,8,6,Medium
5.84,0.74,6.94,4.77,6,136,5,6,4,6,5,9,4,Medium
7.15,2.05,7.94,5.11,19,134,4,6,5,9,8,4,7,Medium
5.92,2.14,7.16,7.16,0,238,4,7,8,6,9,6,6,Medium
7.05,1.5,8.64,4.07,25,135,4,6,6,4,5,6,7,Medium
6.44,2.58,5.99,4.49,27,113,6,6,9,6,8,6,6,Medium
6.62,1.81,8.38,5.56,12,256,2,4,7,7,8,6,6,Medium
6.81,1.41,8.61,8.61,0,217,3,6,6,7,7,6,6,Medium
6.13,0.44,6.65,5.11,1,143,5,4,8,5,5,5,6,Medium
6.62,2.27,7.39,6.24,1,174,4,5,6,5,7,10,5,Medium
6.03,2.21,7.48,5.23,20,12,2,8,3,6,1,7,6,Medium
5.59,1.29,6.12,5.13,0,187,5,5,3,5,5,7,4,Medium
6.33,2.83,8.94,4.75,9,49,5,7,3,8,4,7,8,Medium
6.92,1.75,7.49,7.49,21,121,7,5,7,4,6,8,6,Medium
5.45,2.37,6.9,6.01,5,65,3,7,7,10,9,6,6,Medium
6.49,0.28,5.96,5.11,3,126,5,3,5,5,5,5,6,Medium
6.54,4.37,5.57,5.57,17,111,6,6,7,6,7,7,6,Medium
5.34,2.07,8.29,4.07,0,165,3,6,5,5,5,7,4,Medium
5.26,1.65,7.82,5.11,0,160,3,7,4,7,8,4,7,Medium
6.75,1.14,7.47,5.49,20,93,6,5,6,8,10,5,7,Medium
5.9,2.23,7.68,5.87,0,58,6,6,7,3,7,9,7,Medium
5.88,2.3,7.04,4.03,0,124,2,6,4,6,7,7,6,Medium
6.09,2.87,7.77,5.26,0,174,3,9,8,5,6,5,5,Medium
5.17,1.73,5.99,5.15,17,196,3,7,3,9,7,6,5,Medium
6.43,1.67,6.68,4.61,0,166,4,7,7,7,5,7,4,Medium
5.72,1.31,8.17,5.67,11,222,5,7,5,7,6,5,6,Medium
7.22,0.81,7.42,4.87,0,169,5,3,7,7,3,8,5,Medium
7.47,2.42,6.58,4.82,9,107,3,3,7,6,7,5,6,Medium
6.75,3.45,6.81,4.84,11,76,2,7,7,7,5,5,6,Medium
6.61,3.77,6.59,4.74,19,175,3,5,8,7,4,7,8,Medium
7.5,3.12,8.25,4.68,0,208,5,6,7,7,8,8,6,Medium
6.3,4.59,7.62,5.35,0,281,4,6,7,9,6,4,6,Medium
5.38,4.96,8.09,5.12,0,182,1,10,8,10,8,3,3,High
5.48,1.92,6.9,5.11,0,240,3,9,10,9,4,8,4,High
5.49,3.1,7.57,5.11,2,238,4,9,7,8,10,8,6,High
4.85,4.84,8.03,4.5,0,274,2,9,9,7,6,6,5,High
6.32,3.11,8.01,4.67,0,239,6,6,8,10,4,6,7,Medium
5.38,4.93,6.86,5.8,0,182,2,7,8,10,5,4,8,High
5.93,3.11,7.29,4.42,5,204,4,8,6,8,6,4,5,High
6.78,2.02,5.31,5.31,7,141,4,7,8,7,9,8,7,Medium
5.94,1.22,7.14,5.88,13,107,4,8,7,3,7,6,7,Medium
4.46,2.26,6.98,4.77,26,104,2,9,8,7,5,8,6,High
5.3,1.74,7.47,5.6,0,169,2,4,7,5,8,6,6,Medium
7.2,2.91,8.7,4.16,5,60,4,7,6,6,7,7,8,Medium
6.1,1.33,7.33,4.54,23,140,4,7,6,6,5,9,5,Medium
6.32,2.93,5.45,5.37,0,207,5,7,5,7,7,6,5,Medium
7.61,0.78,6.45,5.99,0,100,5,5,5,6,9,7,6,Medium
6.52,1.99,8.76,5.64,0,98,5,7,5,7,7,8,5,Medium
6.92,2.24,6.48,5.45,10,179,5,9,7,6,8,6,6,Medium
6.64,2.3,6.78,5.01,0,170,2,6,6,9,6,4,6,Medium
6.35,5.15,6.6,2.66,6,192,7,4,6,6,5,8,5,Medium
7.35,5.73,5.88,2.18,12,145,4,6,6,8,5,8,6,Medium
5.76,5.04,5.87,4.11,0,26,4,4,7,6,10,6,7,Medium
6.85,2.16,5.72,3.16,4,209,6,4,7,6,4,4,7,Medium
7.25,5.0,4.1,2.37,6,120,3,7,5,7,8,4,6,Medium
6.4,5.36,5.25,2.89,0,254,3,6,6,6,6,7,6,Medium
6.97,5.85,6.42,2.15,19,145,5,3,7,7,6,5,8,Medium
6.49,4.25,5.57,3.28,7,286,5,5,7,3,7,3,9,Low
7.26,5.2,6.67,4.35,19,273,4,5,6,6,5,5,6,Medium
