sleep_hours,study_hours,screen_time_hours,social_media_hours,physical_activity_minutes,caffeine_intake_mg,mood_score,fatigue_level,assignment_load,deadline_pressure,social_interaction_score,financial_worry_score,health_condition_score,social_media_ratio,study_screen_balance,academic_pressure_index,recovery_index,digital_pressure_index,emotional_pressure_index,stress_level
6.99,2.89,5.9,4.22,16.0,56.0,5.0,8.0,6.0,5.0,6.0,6.0,6.0,0.715254237166906,0.41884057971014493,5.5,3.8833333333333337,10.120000000000001,13.0,Medium
6.86,4.57,8.45,4.22,22.0,89.0,2.0,8.0,5.0,8.0,8.0,3.0,5.0,0.4994082839645671,0.48359788359788364,6.5,1.5244444444444443,12.669999999999998,16.0,Medium
7.04,2.1800000000000006,7.96,4.13,28.0,138.0,6.0,5.0,6.0,5.0,8.0,3.0,6.0,0.5188442210403462,0.2433035714285714,5.5,7.04,12.09,9.0,Medium
7.56,2.1800000000000006,8.05,3.74,32.0,95.0,5.0,6.0,4.0,4.0,5.0,5.0,4.0,0.4645962732342116,0.2408839779005525,4.0,5.3999999999999995,11.790000000000001,11.0,Medium
7.03,2.64,6.85,4.2,14.0,118.0,3.0,7.0,8.0,6.0,7.0,6.0,3.0,0.6131386860418776,0.33630573248407647,7.0,2.63625,11.05,14.0,Medium
6.55,4.42,7.3,4.41,17.0,146.0,4.0,6.0,7.0,8.0,6.0,4.0,6.0,0.6041095889583412,0.5325301204819276,7.5,3.742857142857143,11.71,12.0,Medium
7.33,3.43,7.8,5.52,35.0,122.0,4.0,3.0,8.0,6.0,3.0,4.0,7.0,0.7076923076015779,0.38977272727272727,7.0,7.33,13.32,9.0,Medium
8.16,4.17,7.29,4.71,0.0,155.0,5.0,7.0,8.0,4.0,6.0,5.0,8.0,0.6460905348907969,0.503015681544029,6.0,5.1,12.0,12.0,Medium
7.54,3.3,7.45,4.12,35.0,90.0,5.0,6.0,7.0,6.0,9.0,3.0,6.0,0.553020134153957,0.3905325443786982,6.5,5.385714285714286,11.57,11.0,Medium
6.79,2.6,8.28,5.16,14.0,193.0,3.0,8.0,9.0,7.0,5.0,2.0,7.0,0.6231884057218372,0.2801724137931035,8.0,2.2633333333333336,13.44,15.0,Medium
7.5,3.79,7.79,3.44,54.0,149.0,5.0,6.0,7.0,8.0,5.0,5.0,8.0,0.441591784282209,0.43117178612059165,7.5,5.357142857142857,11.23,11.0,Medium
7.95,5.44,7.0,3.53,23.0,145.0,4.0,7.0,8.0,4.0,6.0,3.0,4.0,0.5042857142136734,0.68,6.0,3.975,10.53,13.0,Medium
7.61,3.92,6.22,4.22,21.0,241.0,5.0,5.0,6.0,4.0,2.0,4.0,6.0,0.6784565915307947,0.5429362880886427,5.0,6.341666666666668,10.44,10.0,Medium
7.53,5.7,8.63,4.0,11.0,296.0,5.0,6.0,7.0,6.0,6.0,3.0,5.0,0.46349942057201626,0.5919003115264797,6.5,5.378571428571428,12.63,11.0,Medium
7.05,3.3,6.79,4.24,22.0,232.0,1.0000000000000004,7.0,3.0,8.0,6.0,4.0,4.0,0.6244477171392566,0.4236200256739409,5.5,0.8812500000000001,11.030000000000001,16.0,Medium
6.92,1.94,9.66,5.28,40.0,185.0,3.0,7.0,5.0,6.0,8.0,4.0,6.0,0.5465838508750949,0.18198874296435275,5.5,2.5949999999999998,14.940000000000001,14.0,Medium
7.88,3.49,7.55,4.22,12.000000000000002,156.0,3.0,6.0,8.0,6.0,9.0,4.0,5.0,0.5589403972769615,0.408187134502924,7.0,3.3771428571428572,11.77,13.0,Medium
7.75,3.14,6.1,3.16,32.0,64.0,5.0,7.0,9.0,3.0,6.0,3.0,6.0,0.5180327868003225,0.4422535211267606,6.0,4.84375,9.26,12.0,Medium
7.05,4.95,7.62,4.27,20.0,138.0,6.0,4.0,7.0,4.0,7.0,4.0,7.0,0.5603674539947023,0.574245939675174,5.5,8.459999999999999,11.89,8.0,Medium
7.3,3.31,6.73,4.22,13.0,166.0,4.0,6.0,4.0,8.0,8.0,7.0,7.0,0.6270430905457588,0.4282018111254851,6.0,4.171428571428572,10.95,12.0,Medium
5.88,2.57,6.88,4.19,31.0,98.0,3.0,6.0,7.0,5.0,5.0,2.0,5.0,0.6090116278184576,0.32614213197969544,6.0,2.52,11.07,13.0,Medium
7.76,2.9,10.14,4.49,27.0,90.0,8.0,6.0,8.0,6.0,6.0,6.0,5.0,0.44280078891096636,0.2603231597845601,7.0,8.868571428571428,14.63,8.0,Medium
7.4,4.82,7.28,5.85,0.0,108.0,2.0,6.0,8.0,8.0,6.0,4.0,6.0,0.8035714284610478,0.5821256038647342,8.0,2.1142857142857143,13.129999999999999,14.0,Medium
7.83,3.23,6.57,4.92,32.0,175.0,4.0,6.0,8.0,8.0,4.0,5.0,6.0,0.7488584473746029,0.42668428005284015,8.0,4.474285714285714,11.49,12.0,Medium
7.25,2.57,6.43,4.86,24.0,182.0,3.0,7.0,7.0,7.0,6.0,4.0,5.0,0.7558320372074911,0.3458950201884253,7.0,2.71875,11.29,14.0,Medium
6.87,4.07,7.03,4.99,14.0,130.0,5.0,6.0,6.0,9.0,4.0,5.0,7.0,0.7098150781351614,0.5068493150684931,7.5,4.9071428571428575,12.02,11.0,Medium
7.13,4.91,6.99,5.09,52.0,119.0,3.0,8.0,6.0,9.0,6.0,4.0,4.0,0.7281831186368837,0.6145181476846058,7.5,2.376666666666667,12.08,15.0,Medium
6.48,2.84,6.74,4.15,28.0,234.0,4.0,6.0,5.0,8.0,7.0,3.0,7.0,0.6157270028760049,0.36692506459948315,6.5,3.7028571428571433,10.89,12.0,Medium
7.18,4.34,7.8,5.77,17.0,109.0,6.0,5.0,6.0,6.0,9.0,3.0,5.0,0.7397435896487508,0.4931818181818181,6.0,7.18,13.57,9.0,Medium
7.73,2.5,8.54,4.8,7.0,234.0,5.0,5.0,9.0,6.0,8.0,5.0,8.0,0.5620608898639273,0.2620545073375262,7.5,6.441666666666667,13.34,10.0,Medium
7.31,2.25,6.53,4.2,24.0,249.0,6.0,6.0,6.0,7.0,10.0,3.0,6.0,0.6431852985232488,0.29880478087649404,6.5,6.265714285714286,10.73,10.0,Medium
7.75,4.53,9.35,4.55,20.0,177.0,5.0,6.0,8.0,8.0,8.0,6.0,7.0,0.48663101599073466,0.4376811594202899,8.0,5.535714285714286,13.899999999999999,11.0,Medium
6.96,3.99,8.71,3.64,29.0,118.0,4.0,6.0,7.0,8.0,4.0,5.0,7.0,0.41791044771321345,0.4109165808444902,7.5,3.9771428571428573,12.350000000000001,12.0,High
8.48,3.54,7.73,4.33,44.0,136.0,4.0,5.0,7.0,7.0,7.0,6.0,5.0,0.5601552392548311,0.4054982817869416,7.0,5.653333333333333,12.06,11.0,Medium
6.61,4.95,9.7,2.98,11.0,224.0,6.0,7.0,10.0,9.0,3.0,1.0,6.0,0.307216494813689,0.4626168224299066,9.5,4.9575000000000005,12.68,11.0,Medium
6.2,4.63,9.22,4.13,11.0,124.0,5.0,8.0,10.0,10.0,4.0,2.0,5.0,0.44793926242430154,0.4530332681017612,10.0,3.4444444444444446,13.350000000000001,13.0,High
6.84,5.09,8.67,4.7,3.0,288.0,4.0,8.0,9.0,10.0,7.0,5.0,6.0,0.5420991925556979,0.5263702171664943,9.5,3.04,13.370000000000001,14.0,High
7.74,5.04,9.62,4.41,35.0,161.0,5.0,5.0,10.0,9.0,5.0,5.0,6.0,0.45841995837230565,0.4745762711864407,9.5,6.45,14.03,10.0,Medium
6.23,3.76,8.05,4.22,0.0,247.0,4.0,6.0,10.0,9.0,6.0,2.0,7.0,0.5242236024193511,0.41546961325966847,9.5,3.56,12.27,12.0,High
7.09,5.43,8.53,4.11,0.0,186.0,6.0,7.0,8.0,7.0,7.0,3.0,6.0,0.4818288393339006,0.5697796432318992,7.5,5.3175,12.64,11.0,Medium
7.43,6.57,8.57,3.55,26.0,225.0,2.0,8.0,10.0,10.0,8.0,5.0,8.0,0.41423570590265624,0.6865203761755486,10.0,1.6511111111111112,12.120000000000001,16.0,High
6.07,7.38,8.7,3.55,12.000000000000002,182.0,4.0,7.0,9.0,9.0,9.0,7.0,6.0,0.40804597696459244,0.7608247422680413,9.0,3.035,12.25,13.0,Medium
7.1,3.97,8.12,3.51,22.0,41.0,7.0,5.0,7.0,7.0,4.0,2.0,7.0,0.43226600979898205,0.4353070175438597,7.0,8.283333333333333,11.629999999999999,8.0,Medium
8.1,4.73,7.45,5.37,24.0,131.0,7.0,3.0,8.0,7.0,9.0,3.0,7.0,0.7208053690307644,0.5597633136094675,7.5,14.174999999999999,12.82,6.0,Medium
7.74,3.31,7.36,4.23,0.0,212.0,1.0000000000000004,6.0,7.0,6.0,9.0,2.0,6.0,0.5747282607914772,0.395933014354067,6.5,1.1057142857142859,11.59,15.0,Medium
6.34,2.55,8.67,3.87,29.0,138.0,6.0,5.0,7.0,7.0,5.0,2.0,6.0,0.4463667819554364,0.2637021716649431,7.0,6.34,12.54,9.0,Medium
8.05,4.7,7.16,3.94,21.0,266.0,5.0,6.0,7.0,7.0,6.0,4.0,6.0,0.5502793295320839,0.5759803921568628,7.0,5.75,11.1,11.0,Medium
7.05,4.58,7.56,4.65,24.0,146.0,5.0,6.0,4.0,8.0,1.0,7.0,6.0,0.6150793649980054,0.5350467289719627,6.0,5.035714285714286,12.21,11.0,Medium
7.79,2.81,8.12,3.49,17.0,256.0,4.0,7.0,6.0,7.0,7.0,5.0,8.0,0.4298029556120933,0.30811403508771934,6.5,3.895,11.61,13.0,Medium
7.04,4.05,8.56,4.89,39.0,180.0,5.0,5.0,5.0,9.0,5.0,4.0,7.0,0.5712616821762544,0.4236401673640167,7.0,5.866666666666667,13.45,10.0,Medium
7.63,3.47,9.52,4.97,22.0,199.0,5.0,7.0,8.0,5.0,6.0,6.0,6.0,0.5220588234745737,0.32984790874524716,6.5,4.76875,14.489999999999998,12.0,Medium
7.5,2.87,7.92,3.96,7.0,237.0,5.0,3.0,6.0,5.0,5.0,7.0,8.0,0.49999999993686867,0.32174887892376686,5.5,9.375,11.879999999999999,8.0,Medium
6.63,6.1,8.49,3.96,0.0,279.0,7.0,8.0,5.0,4.0,9.0,5.0,6.0,0.4664310953514215,0.6427818756585879,4.5,5.156666666666666,12.45,11.0,Medium
7.63,4.61,7.79,4.24,24.0,96.0,4.0,5.0,6.0,4.0,4.0,5.0,8.0,0.5442875480687692,0.5244596131968147,5.0,5.086666666666667,12.030000000000001,11.0,Medium
7.38,2.82,5.44,4.53,16.0,116.0,4.0,5.0,8.0,8.0,5.0,3.0,5.0,0.8327205880822205,0.4378881987577639,8.0,4.92,9.97,11.0,Medium
8.53,1.0300000000000002,4.52,3.18,25.0,124.0,4.0,5.0,9.0,6.0,10.0,2.0,7.0,0.7035398228531993,0.18659420289855078,7.5,5.6866666666666665,7.699999999999999,11.0,Medium
8.15,1.8899999999999997,5.43,4.06,15.0,133.0,3.0,4.0,9.0,10.0,7.0,8.0,6.0,0.7476979740796136,0.2939346811819596,9.5,4.890000000000001,9.489999999999998,11.0,Medium
8.8,3.15,5.06,4.52,34.0,119.0,5.0,3.0,7.0,6.0,5.0,4.0,6.0,0.8932806322345295,0.5198019801980198,6.5,11.0,9.579999999999998,8.0,Medium
7.54,0.7200000000000002,5.55,4.19,0.0,164.0,5.0,7.0,9.0,5.0,5.0,4.0,6.0,0.7549549548189272,0.10992366412213739,7.0,4.7125,9.74,12.0,Medium
7.44,2.81,4.29,3.76,0.0,135.0,5.0,7.0,6.0,6.0,7.0,3.0,5.0,0.8764568762525741,0.5311909262759924,6.0,4.65,8.05,12.0,Medium
8.18,2.41,7.53,3.9,17.0,123.0,5.0,6.0,8.0,7.0,5.0,2.0,4.0,0.5179282867838076,0.28253223915592024,7.5,5.8428571428571425,11.43,11.0,Medium
7.72,1.17,3.0600000000000005,3.06,44.0,142.0,6.0,5.0,9.0,7.0,6.0,5.0,7.0,0.9999999996732026,0.28817733990147776,8.0,7.720000000000001,6.120000000000001,9.0,Medium
6.95,3.26,5.04,3.16,21.0,88.0,4.0,7.0,7.0,7.0,6.0,5.0,7.0,0.6269841268597254,0.5397350993377483,7.0,3.475,8.2,13.0,Medium
7.13,1.33,4.4,4.4,33.0,215.0,4.0,5.0,7.0,9.0,6.0,4.0,6.0,0.9999999997727272,0.2462962962962963,8.0,4.753333333333333,8.8,11.0,Medium
7.5,2.43,5.22,3.93,29.0,199.0,3.0,6.0,5.0,3.0,6.0,2.0,4.0,0.7528735630741622,0.3906752411575563,4.0,3.2142857142857144,9.15,13.0,Medium
7.74,3.03,4.64,1.96,8.000000000000004,166.0,5.0,5.0,5.0,7.0,7.0,3.0,7.0,0.42241379301241083,0.5372340425531915,6.0,6.45,6.6,10.0,Medium
7.29,2.25,4.28,3.36,4.0,132.0,7.0,3.0,10.0,5.0,6.0,3.0,8.0,0.7850467287885404,0.4261363636363636,7.5,12.7575,7.640000000000001,6.0,Medium
7.59,4.1,5.89,3.33,40.0,106.0,6.0,7.0,8.0,8.0,6.0,3.0,7.0,0.5653650253709058,0.5950653120464441,8.0,5.6925,9.219999999999999,11.0,Medium
6.95,4.29,5.35,3.41,16.0,61.0,3.0,5.0,6.0,9.0,7.0,6.0,7.0,0.6373831774509565,0.6755905511811024,7.5,3.475,8.76,12.0,Medium
8.39,0.7200000000000002,4.19,4.19,10.0,127.0,7.0,5.0,9.0,8.0,6.0,6.0,6.0,0.9999999997613365,0.13872832369942195,8.5,9.788333333333334,8.38,8.0,Medium
7.91,3.0,6.12,4.5,27.0,120.0,8.0,3.0,6.0,6.0,5.0,4.0,7.0,0.7352941175269126,0.42134831460674155,6.0,15.82,10.620000000000001,5.0,Medium
7.59,3.09,6.07,3.27,14.0,159.0,5.0,6.0,7.0,10.0,7.0,6.0,6.0,0.5387149916740173,0.437057991513437,8.5,5.421428571428572,9.34,11.0,Medium
6.55,2.67,4.56,3.3,0.0,216.0,4.0,8.0,7.0,8.0,10.0,5.0,4.0,0.7236842103676131,0.4802158273381295,7.5,2.911111111111111,7.859999999999999,14.0,Medium
7.88,2.65,6.5,4.08,13.0,69.00000000000001,5.0,5.0,7.0,6.0,9.0,5.0,5.0,0.6276923075957397,0.35333333333333333,6.5,6.566666666666666,10.58,10.0,Medium
7.68,3.47,4.6,3.56,14.0,95.0,3.0,6.0,8.0,7.0,6.0,5.0,6.0,0.773913043310019,0.6196428571428572,7.5,3.2914285714285714,8.16,13.0,Medium
8.51,1.87,5.44,4.25,14.0,36.0,8.0,4.0,5.0,9.0,5.0,5.0,8.0,0.7812499998563878,0.29037267080745344,7.0,13.616,9.690000000000001,6.0,Medium
9.04,3.53,6.82,4.81,21.0,189.0,5.0,5.0,7.0,6.0,6.0,5.0,7.0,0.7052785922719532,0.4514066496163682,6.5,7.533333333333332,11.629999999999999,10.0,Medium
7.8,2.95,4.47,4.47,6.0,30.0,5.0,7.0,7.0,7.0,5.0,7.0,7.0,0.9999999997762863,0.5393053016453383,7.0,4.875,8.94,12.0,Medium
7.77,2.05,4.26,3.4,27.0,255.0,5.0,4.0,10.0,6.0,3.0,5.0,6.0,0.7981220655403469,0.3897338403041825,8.0,7.769999999999999,7.66,9.0,Medium
7.09,0.6800000000000002,5.73,3.3,0.0,0.0,2.0,8.0,7.0,10.0,5.0,5.0,4.0,0.5759162302659832,0.10104011887072806,8.5,1.5755555555555563,9.030000000000001,16.0,Medium
7.58,3.04,6.44,3.58,14.0,89.0,5.0,6.0,6.0,7.0,5.0,6.0,6.0,0.5559006210316925,0.4086021505376344,6.5,5.414285714285714,10.02,11.0,Medium
6.82,3.33,3.79,3.72,16.0,185.0,3.0,5.0,9.0,10.0,7.0,2.0,7.0,0.9815303427489366,0.6951983298538622,9.5,3.41,7.51,12.0,Medium
5.96,4.54,6.18,2.4,21.0,158.0,2.0,9.0,8.0,10.0,6.0,5.0,6.0,0.38834951450026706,0.6323119777158774,9.0,1.1920000000000002,8.58,17.0,High
7.3,2.91,5.79,4.0,0.0,27.0,3.0,4.0,10.0,10.0,8.0,7.0,6.0,0.6908462865818918,0.4285714285714286,10.0,4.38,9.79,11.0,Medium
7.59,3.09,7.99,3.53,0.0,173.0,3.0,9.0,8.0,10.0,6.0,4.0,3.0,0.4418022527607256,0.3437152391546162,9.0,2.277,11.52,16.0,High
7.41,3.99,6.03,5.52,11.0,157.0,2.0,7.0,9.0,10.0,7.0,3.0,8.0,0.9154228854203278,0.5675675675675675,9.5,1.8525000000000005,11.55,15.0,Medium
7.54,3.63,7.5,3.49,17.0,231.0,3.0,8.0,8.0,8.0,5.0,3.0,6.0,0.4653333332712889,0.42705882352941177,8.0,2.5133333333333336,10.99,15.0,Medium
7.59,3.0,6.24,4.36,6.0,229.0,5.0,6.0,8.0,10.0,8.0,8.0,7.0,0.6987179486059747,0.4143646408839779,9.0,5.421428571428572,10.600000000000001,11.0,Medium
7.05,4.27,5.86,3.67,4.0,212.0,5.0,8.0,10.0,8.0,6.0,1.0,5.0,0.6262798633743549,0.6224489795918366,9.0,3.9166666666666665,9.530000000000001,13.0,Medium
8.23,2.25,4.22,3.32,14.0,175.0,4.0,4.0,7.0,7.0,9.0,4.0,8.0,0.7867298576334764,0.4310344827586207,7.0,6.5840000000000005,7.539999999999999,10.0,Medium
8.73,2.47,5.18,4.41,14.0,88.0,4.0,6.0,8.0,5.0,7.0,5.0,6.0,0.8513513511869979,0.39967637540453077,6.5,4.988571428571428,9.59,12.0,Medium
8.12,1.0,6.49,3.27,16.0,258.0,5.0,6.0,6.0,6.0,8.0,5.0,7.0,0.5038520800456314,0.13351134846461948,6.0,5.799999999999999,9.76,11.0,Medium
8.11,2.68,4.97,4.08,37.0,134.0,2.0,5.0,6.0,9.0,8.0,3.0,6.0,0.8209255531547434,0.44891122278056955,7.5,2.703333333333333,9.05,13.0,Medium
7.6,2.46,5.92,3.36,20.0,156.0,6.0,4.0,8.0,8.0,5.0,5.0,7.0,0.5675675674716947,0.3554913294797688,8.0,9.12,9.28,8.0,Medium
8.58,2.05,4.87,3.63,11.0,190.0,7.0,3.0,5.0,6.0,9.0,4.0,6.0,0.7453798766436591,0.34923339011925036,5.5,15.015,8.5,6.0,Low
7.43,3.43,4.29,3.8,26.0,172.0,6.0,2.0,8.0,9.0,5.0,2.0,8.0,0.88578088557441,0.6483931947069943,8.5,14.86,8.09,6.0,Low
8.28,2.14,6.17,4.69,30.0,240.0,5.0,3.0,8.0,7.0,5.0,8.0,7.0,0.7601296595202384,0.298465829846583,7.5,10.35,10.86,8.0,Medium
7.82,2.02,5.66,5.66,7.0,154.0,5.0,4.0,6.0,5.0,6.0,3.0,5.0,0.9999999998233216,0.3033033033033033,5.5,7.82,11.32,9.0,Medium
7.68,0.0,6.37,4.2,0.0,123.0,1.0000000000000004,7.0,6.0,8.0,7.0,4.0,6.0,0.6593406592371521,0.0,7.0,0.96,10.57,16.0,Medium
7.53,1.52,4.9,3.13,27.0,143.0,3.0,4.0,10.0,7.0,3.0,2.0,7.0,0.6387755100737192,0.25762711864406773,8.5,4.518,8.030000000000001,11.0,Medium
7.72,0.6899999999999995,6.11,3.33,16.0,239.0,2.0,4.0,9.0,7.0,5.0,4.0,5.0,0.5450081832168563,0.09704641350210969,8.0,3.088,9.440000000000001,12.0,Medium
7.3,2.3500000000000005,4.99,3.22,16.0,169.0,4.0,5.0,6.0,9.0,8.0,5.0,7.0,0.6452905810330078,0.39232053422370616,7.5,4.866666666666666,8.21,11.0,Medium
7.58,1.6600000000000001,5.58,2.9,16.0,140.0,5.0,3.0,7.0,7.0,6.0,4.0,6.0,0.5197132615556069,0.25227963525835867,7.0,9.475,8.48,8.0,Medium
7.59,1.4100000000000001,6.18,3.92,6.0,249.0,3.0,6.0,6.0,9.0,9.0,4.0,6.0,0.6343042070171029,0.1963788300835655,7.5,3.2528571428571427,10.1,13.0,Medium
7.91,1.3399999999999999,6.43,4.66,0.0,220.0,10.0,7.0,5.0,9.0,6.0,3.0,5.0,0.7247278381454545,0.18034993270524902,7.0,9.8875,11.09,7.0,Medium
7.54,2.25,6.92,5.05,7.0,129.0,6.0,7.0,5.0,6.0,5.0,3.0,6.0,0.7297687860217097,0.2840909090909091,5.5,5.655,11.969999999999999,11.0,Medium
7.57,1.46,5.64,3.34,14.0,175.0,5.0,5.0,7.0,6.0,6.0,4.0,8.0,0.5921985814552839,0.21987951807228917,6.5,6.308333333333334,8.98,10.0,Medium
7.75,1.98,5.91,3.43,28.0,164.0,4.0,3.0,7.0,8.0,4.0,4.0,9.0,0.5803722503248101,0.2865412445730825,7.5,7.75,9.34,9.0,Medium
8.84,2.91,5.72,3.72,8.000000000000004,95.0,3.0,4.0,7.0,7.0,8.0,3.0,7.0,0.6503496502359529,0.4330357142857143,7.0,5.304,9.44,11.0,Medium
